word,CEFR_level,pos
a,A1,determiner
a.m./a.m./am/am,A1,adverb
abandon,B1,verb
abandoned,B2,adjective
ability,A2,noun
able,B1,adjective
abnormal,B1,adjective
abnormally,B2,adverb
aboard,B1,adverb
abolish,B2,verb
aboriginal,B2,adjective
aborigine,B1,noun
about,A1,adverb
about,A1,preposition
above,B1,adjective
above,A1,adverb
above,A1,preposition
abroad,A2,adverb
abruptly,B2,adverb
absence,B1,noun
absent,B1,adjective
absentee,B2,noun
absolute,B1,adjective
absolutely,B1,adverb
absorb,B1,verb
abstract,B1,adjective
absurd,B2,adjective
abundance,B1,noun
abundant,B1,adjective
abuse,B2,noun
academic,B1,adjective
academy,B1,noun
accent,B1,noun
accept,A2,verb
acceptable,A2,adjective
acceptance,B1,noun
access,B1,noun
access,B2,verb
accessibility,B2,noun
accessible,B1,adjective
accessory,B1,noun
accident,A2,noun
accidental,B1,adjective
accidentally,B1,adverb
accommodation,B2,noun
accompany,B1,verb
accomplish,B1,verb
according to,B1,preposition
accordingly,B2,adverb
account,A2,noun
account,B1,verb
accountant,B1,noun
accumulate,B2,verb
accuracy,B1,noun
accurate,B1,adjective
accurately,B1,adverb
accusation,B2,noun
accuse,B1,verb
accustom,B1,verb
ache,B1,noun
ache,B2,verb
achievable,B2,adjective
achieve,A2,verb
achievement,B1,noun
acid,B2,noun
acknowledge,B1,verb
acknowledgment/acknowledgement,B1,noun
acquaintance,B1,noun
acquire,B1,verb
acquisition,B2,noun
across,A2,adverb
across,A2,preposition
act,A2,noun
act,B1,verb
action,A1,noun
active,B1,adjective
actively,B2,adverb
activity,A1,noun
actor,A1,noun
actress,B1,noun
actual,B2,adjective
actually,A2,adverb
acute,B2,adjective
ad,B1,noun
adapt,B1,verb
adaptable,B2,adjective
add,A1,verb
addict,B2,noun
addicted,B2,adjective
addiction,B2,noun
addition,A2,noun
additional,A2,adjective
additionally,B2,adverb
address,A1,noun
address,B1,verb
addressee,B1,noun
adequate,B2,adjective
adequately,B2,adverb
adjective,A2,noun
adjust,A2,verb
adjustment,B2,noun
administration,B1,noun
administrative,B2,adjective
admirable,B2,adjective
admiration,B1,noun
admire,A2,verb
admiringly,B2,adverb
admission,B1,noun
admit,A2,verb
admittedly,B2,adverb
adopt,B1,verb
adopted,B2,adjective
adoption,B2,noun
adorable,B1,adjective
adore,B2,verb
adorn,B2,verb
adult,A2,adjective
adult,A2,noun
advance,B2,noun
advance,B1,verb
advanced,A2,adjective
advancement,B2,noun
advantage,A2,noun
advent,B2,noun
adventure,A2,noun
adventurous,B2,adjective
adverb,B1,noun
adverbial,B1,adjective
adverse,B2,adjective
adversely,B2,adverb
adversity,B2,noun
advert,B1,noun
advertise,B1,verb
advertisement,A2,noun
advertising,A2,noun
advice,A2,noun
advise,A2,verb
adviser/advisor,B1,noun
aerobics,B1,noun
affair,A2,noun
affect,B1,verb
affection,B1,noun
affectionate,B2,adjective
affectionately,B2,adverb
afford,B1,verb
affordable,B2,adjective
afraid,A1,adjective
after,A2,adverb
after,B1,conjunction
after,A1,preposition
afternoon,A1,noun
afterward/afterwards,B1,adverb
again,A1,adverb
against,A2,preposition
age,A1,noun
aged,A2,adjective
ageless,B2,adjective
agency,A2,noun
agenda,B1,noun
agent,A2,noun
aggressive,B1,adjective
aggressively,B2,adverb
ago,A1,adverb
agonize/agonise,B2,verb
agony,B2,noun
agree,A1,verb
agreement,B1,noun
